name,link,value,words,domain,feature
Global uncertainty about economic policy is at record highs,http://www.cnbc.com/2016/10/26/global-uncertainty-about-economic-policy-is-at-record-highs.html,42669,611,www.cnbc.com,0
Time Wasted on Facebook Could Be Costing Us Trillions in Lost Productivity,http://www.nbcnews.com/tech/social-media/time-wasted-facebook-could-be-costing-us-trillions-lost-productivity-n511421,42404,612,www.nbcnews.com,0
US states that depend on software more than California does,http://www.cnbc.com/2016/06/15/us-states-that-depend-on-software-more-than-california-does.html,42536,612,www.cnbc.com,0
Does your congressman show up for work?,http://www.cnbc.com/2015/10/12/does-your-congressman-show-up-for-work.html,42289,615,www.cnbc.com,0
Refiners are finally sharing more of those oil savings,http://www.cnbc.com/2016/01/22/refiners-are-finally-sharing-more-of-those-oil-savings.html,42391,615,www.cnbc.com,0
What we can learn from 70 years of coups,http://www.cnbc.com/2016/07/21/what-we-can-learn-from-70-years-of-coups-.html,42572,617,www.cnbc.com,0
It's Official: You Will Eat a Lot of Candy at Easter,http://www.nbcnews.com/business/business-news/it-s-official-you-will-eat-lot-candy-easter-n545601,42455,619,www.nbcnews.com,0
The Bottom Line: Does Profuse Swearing Make a Company Perform Better?,http://www.nbcnews.com/business/business-news/bottom-line-does-profuse-swearing-make-company-perform-better-n685976,42692,619,www.nbcnews.com,0
"Don't fear Friday the 13th, but investors should watch for these days",http://www.cnbc.com/2017/01/13/dont-fear-friday-the-13th-but-investors-should-watch-for-these-days.html,42748,619,www.cnbc.com,0
It's getting very expensive to live alone in America,http://www.cnbc.com/2016/09/15/its-getting-very-expensive-to-live-alone.html,42628,624,www.cnbc.com,0
"Planes, trains and trucks point to US economic downturn",http://www.cnbc.com/2016/09/08/transportation-planes-trains-and-trucks-point-to-economic-downturn.html,42621,626,www.cnbc.com,0
The Bottom Line: Does Profuse Swearing Make a Company Perform Better?,http://www.nbcnews.com/business/business-news/bottom-line-does-profuse-swearing-make-company-perform-better-n685976,42692,628,www.nbcnews.com,0
Oscars please the audience more than critics,http://www.cnbc.com/2017/02/24/oscars-please-the-audience-more-than-critics.html,42790,628,www.cnbc.com,0
Walmart isn't the only retailer that has expansion plans,http://www.cnbc.com/2017/01/19/walmart-isnt-the-only-retailer-that-has-expansion-plans.html,42754,630,www.cnbc.com,0
The US Supreme Court is more friendly to businesses than any time since World War II,http://www.cnbc.com/2017/03/01/supreme-court-very-business-friendly-data-show.html,42795,636,www.cnbc.com,0
"T-Mobile drops millions on Las Vegas strip, gets signs",http://www.cnbc.com/2016/04/07/t-mobile-drops-millions-on-las-vegas-strip-gets-signs.html,42467,638,www.cnbc.com,0
One good way for CEOs to give their stocks a boost: Visit Trump Tower,http://www.cnbc.com/2017/01/11/stock-market-trump-tower-visits-prove-profitable-for-corporate-ceos.html,42746,638,www.cnbc.com,0
Alive at five: The key year for companies' survival,http://www.cnbc.com/id/102746108,42167,642,www.cnbc.com,0
Twitter's cash puts it in a league of its own,http://www.cnbc.com/2016/01/28/twitters-cash-puts-it-in-a-league-of-its-own.html,42397,645,www.cnbc.com,0
How some Middle East countries are 'buying' Olympic medals,http://www.cnbc.com/2016/08/16/how-some-middle-east-countries-are-buying-olympic-medals.html,42598,647,www.cnbc.com,0
Even the White House talked more about Trump than Clinton,http://www.cnbc.com/2017/01/07/even-the-white-house-talked-more-about-trump-than-clinton.html,42742,649,www.cnbc.com,0
Online prices are showing signs of deflation,http://www.cnbc.com/2016/07/14/online-prices-are-showing-signs-of-deflation.html,42565,651,www.cnbc.com,0
Newark to sell discounted land to couples on Valentine's Day,http://money.cnn.com/2015/02/11/real_estate/newark-land-sale/index.html,42046,652,money.cnn.com,0
Oil-Rich Countries Are Importing Elite Athletes to Bump up National Medal Count,http://www.nbcnews.com/storyline/2016-rio-summer-olympics/oil-rich-countries-are-importing-elite-athletes-bump-national-medal-n632566,42599,654,www.nbcnews.com,0
Shiny happy people means more boys being born,http://www.cnbc.com/2015/11/13/shiny-happy-people-means-more-boys-being-born.html,42321,658,www.cnbc.com,0
Microsoft by the numbers: Redmond gets its mojo back,http://www.cnbc.com/2016/08/02/microsoft-by-the-numbers-redmond-gets-its-mojo-back.html,42584,661,www.cnbc.com,0
